YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,23,13,20,74,10.1,12.2,1.89,5.26,4.89,999,1017.9,25.4,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,13,50,71,9.3,11.2,1.88,5.88,4.84,999,1018.1,25.3,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,14,20,75,8.6,11.5,99.0,99.0,99.0,999,1018.2,25.5,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,14,50,80,9.2,11.2,1.82,6.25,4.9,999,1018.1,25.5,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,15,20,69,9.5,11.6,1.91,6.67,4.9,999,1018.1,25.5,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,15,50,67,8.6,10.6,1.79,6.25,4.79,999,1018.0,25.6,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,16,20,76,8.4,10.1,1.84,6.67,4.82,999,1017.9,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,16,50,73,9.0,10.9,1.91,5.56,4.84,999,1017.4,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,17,20,74,8.5,10.8,1.92,6.67,5.03,999,1017.0,25.6,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,17,50,71,8.0,9.6,1.89,7.14,4.97,999,1016.5,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,18,20,76,8.7,10.5,99.0,99.0,99.0,999,1016.2,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,18,50,76,8.7,10.0,1.73,6.25,4.78,999,1016.1,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,19,20,67,7.8,9.3,1.8,6.67,4.79,999,1016.0,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,19,50,65,7.5,9.0,1.66,7.14,4.8,999,1015.9,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,20,20,75,9.6,11.2,1.74,6.67,4.83,999,1015.9,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,20,50,79,8.8,10.3,1.71,5.56,4.63,999,1016.1,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,21,20,72,8.7,10.6,1.85,6.25,4.88,999,1016.3,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,21,50,70,8.7,10.5,1.8,6.67,4.84,999,1016.3,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,22,20,66,8.8,10.2,1.89,6.67,4.87,999,1016.3,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,22,50,69,8.7,10.0,1.8,5.56,4.71,999,1016.4,25.7,27.5,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,23,23,20,70,8.5,9.9,1.95,7.14,5.03,999,1016.9,25.8,27.5,999.0,99.0,99.0,41010,28.878,-78.467
